linkedin_url,input_name,siren,website,linkedin_id_found,success
https://www.linkedin.com/company/faurecia/,FAURECIA CLEAN  MOBILITY (groupe FORVIA),542005376,https://www.faurecia.com/,faurecia,true
https://www.linkedin.com/company/prysmian/,PRYSMIAN GROUP,95750311,https://fr.prysmian.com/,,false
https://www.linkedin.com/company/petit-bateau/,PETIT BATEAU,845114214,https://www.petit-bateau.fr/,,false
https://www.linkedin.com/company/valeo/,VALEO VISION,950344333,https://www.valeo.com/fr/,,false
https://www.linkedin.com/company/antolin/,GRUPO ANTOLIN BESANCON,328358734,https://www.antolin.com/,,false
https://www.linkedin.com/company/lisi-automotive/,LISI AUTOMOTIVE DELLE,433709953,https://www.lisi-automotive.com/fr/,lisi-automotive,true
https://www.linkedin.com/company/pochet/,QUALIPAC AURILLAC (groupe Pochet),378928808,https://www.groupe-pochet.fr/nos-sites-dans-le-monde/qualipac-aurillac/,qualipac,false
https://www.linkedin.com/company/ykk-france/,YKK FRANCE,672049178,https://www.ykk.fr/,ykk-france,true
https://www.linkedin.com/company/thuasne/,THUASNE,542091186,https://fr.thuasne.com/fr,thuasne,true
https://www.linkedin.com/company/fysol-sas/,FYSOL SAS,910839844,https://www.fysol.com/,fysol-sas,true
https://www.linkedin.com/company/gibaud/,GIBAUD,401407382,https://www.gibaud.com/,,false
https://www.linkedin.com/company/sylektis/,SYLEKTIS,889369963,https://www.sylektis.com/E49D14E14:E54E14:E14:E33,sylektis,true
https://www.linkedin.com/company/renaultgroup/,AUTO CHASSIS INTERNATIONAL (Renault Group),421242371,https://www.renaultgroup.com/groupe/implantations/usine-villeurbanne-aci-2/,auto-chassis-international,false
https://www.linkedin.com/company/faurecia/,FAURECIA AUTOMOTIVE COMPOSITES,538295742,https://www.faurecia.com/,faurecia-automotive-composites,false
https://www.linkedin.com/showcase/vorwerk-france-recrute/,VORWERK FRANCE,622028777,https://www.vorwerk.com/fr/fr/c/vorwerk,vorwerk-&-co--kg,false
https://www.linkedin.com/company/ynsect/,YNSECT,534948617,https://www.ynsect.com/fr/,ynsect,true
https://www.linkedin.com/company/saint-gobain/,SAINT GOBAIN PLACO,950591735,https://www.placo.fr/,saint-gobain,true
https://www.linkedin.com/company/saint-gobain-pam-canalisation/,SAINT GOBAIN PAM CANALISATION,815145347,https://www.pamline.fr/,,false
https://www.linkedin.com/company/herta-france/,HERTA,311043194,https://www.herta.fr/,herta-france,true
https://www.linkedin.com/company/siemens/,SIEMENS (Haguenau),562016774,https://www.siemens.com/fr/fr.html,siemens,true
https://www.linkedin.com/company/wienerbergerfr/,WIENERBERGER,562123513,https://www.wienerberger.fr/,acome,false
https://www.linkedin.com/company/acome/,ACOME,562123513,https://www.acome.com/fr,acome,true
https://www.linkedin.com/company/maisonm%C3%A9lanmoutet/,SOLOCAP-MAB,826250078,https://www.maisonmelanmoutet.com/fr/,,false
https://www.linkedin.com/showcase/saint-gobain-life-sciences/,MS TECHNIQUES,385369657,https://www.medical.saint-gobain.com/medical-capabilities/precision-medical-extrusion/catheter-tubing,ms-techniques-sa,false
https://www.linkedin.com/company/clarios/,CLARIOS SAS Sarreguemines,440156578,https://www.clarios.com/,,false
